Name,Item No,Vf,Imax,CCT,CRI,Cutout,Beam Angle,Wattage,Batch Code,Stock Code,IMAGE
Demo Downlight 12,DL12-ITEM,36V,350mA,3000K,90,75 mm,36°,12W,DL12,DL12/W,https://placehold.co/800x800/ffffff/222222?text=Demo%20Downlight%2012%20White
Demo Downlight 12,DL12-ITEM,36V,350mA,4000K,90,75 mm,36°,12W,DL12,DL12/W,https://placehold.co/800x800/ffffff/222222?text=Demo%20Downlight%2012%20White
Demo Downlight 12,DL12-ITEM,36V,350mA,3000K,90,75 mm,36°,12W,DL12,DL12/B,https://placehold.co/800x800/ffffff/222222?text=Demo%20Downlight%2012%20Mat%20Black
Demo Downlight 12,DL12-ITEM,36V,350mA,4000K,90,75 mm,36°,12W,DL12,DL12/B,https://placehold.co/800x800/ffffff/222222?text=Demo%20Downlight%2012%20Mat%20Black
Demo Downlight 12,DL12-ITEM,36V,350mA,3000K,90,75 mm,36°,12W,DL12,DL12/CG,https://placehold.co/800x800/ffffff/222222?text=Demo%20Downlight%2012%20Champagne%20Gold
Demo Downlight 12,DL12-ITEM,36V,350mA,4000K,90,75 mm,36°,12W,DL12,DL12/CG,https://placehold.co/800x800/ffffff/222222?text=Demo%20Downlight%2012%20Champagne%20Gold
Demo Downlight 12,DL12-ITEM,36V,350mA,3000K,90,75 mm,36°,12W,DL12,DL12/RG,https://placehold.co/800x800/ffffff/222222?text=Demo%20Downlight%2012%20Rose%20Gold
Demo Downlight 12,DL12-ITEM,36V,350mA,4000K,90,75 mm,36°,12W,DL12,DL12/RG,https://placehold.co/800x800/ffffff/222222?text=Demo%20Downlight%2012%20Rose%20Gold
Demo Downlight 12,DL12-ITEM,36V,350mA,3000K,90,75 mm,36°,12W,DL12,DL12/BR,https://placehold.co/800x800/ffffff/222222?text=Demo%20Downlight%2012%20Brown
Demo Downlight 12,DL12-ITEM,36V,350mA,4000K,90,75 mm,36°,12W,DL12,DL12/BR,https://placehold.co/800x800/ffffff/222222?text=Demo%20Downlight%2012%20Brown
Demo Downlight 12,DL12-ITEM,36V,350mA,3000K,90,75 mm,36°,12W,DL12,DL12/COF,https://placehold.co/800x800/ffffff/222222?text=Demo%20Downlight%2012%20Coffee
Demo Downlight 12,DL12-ITEM,36V,350mA,4000K,90,75 mm,36°,12W,DL12,DL12/COF,https://placehold.co/800x800/ffffff/222222?text=Demo%20Downlight%2012%20Coffee
Demo Downlight 12,DL12-ITEM,36V,350mA,3000K,90,75 mm,36°,12W,DL12,DL12/DGR,https://placehold.co/800x800/ffffff/222222?text=Demo%20Downlight%2012%20Dark%20Gray
Demo Downlight 12,DL12-ITEM,36V,350mA,4000K,90,75 mm,36°,12W,DL12,DL12/DGR,https://placehold.co/800x800/ffffff/222222?text=Demo%20Downlight%2012%20Dark%20Gray
Demo Downlight 12,DL12-ITEM,36V,350mA,3000K,90,75 mm,36°,12W,DL12,DL12/BB,https://placehold.co/800x800/ffffff/222222?text=Demo%20Downlight%2012%20Ballet%20Blue
Demo Downlight 12,DL12-ITEM,36V,350mA,4000K,90,75 mm,36°,12W,DL12,DL12/BB,https://placehold.co/800x800/ffffff/222222?text=Demo%20Downlight%2012%20Ballet%20Blue
Demo Downlight 12,DL12-ITEM,36V,350mA,3000K,90,75 mm,36°,12W,DL12,DL12/CH,https://placehold.co/800x800/ffffff/222222?text=Demo%20Downlight%2012%20Chrome
Demo Downlight 12,DL12-ITEM,36V,350mA,4000K,90,75 mm,36°,12W,DL12,DL12/CH,https://placehold.co/800x800/ffffff/222222?text=Demo%20Downlight%2012%20Chrome
Demo Downlight 12,DL12-ITEM,36V,350mA,3000K,90,75 mm,36°,12W,DL12,DL12/CHB,https://placehold.co/800x800/ffffff/222222?text=Demo%20Downlight%2012%20Chrome%20Black
Demo Downlight 12,DL12-ITEM,36V,350mA,4000K,90,75 mm,36°,12W,DL12,DL12/CHB,https://placehold.co/800x800/ffffff/222222?text=Demo%20Downlight%2012%20Chrome%20Black
Demo Downlight 18,DL18-ITEM,36V,350mA,3000K,90,95 mm,36°,18W,DL18,DL18/W,https://placehold.co/800x800/ffffff/222222?text=Demo%20Downlight%2018%20White
Demo Downlight 18,DL18-ITEM,36V,350mA,4000K,90,95 mm,36°,18W,DL18,DL18/W,https://placehold.co/800x800/ffffff/222222?text=Demo%20Downlight%2018%20White
Demo Downlight 18,DL18-ITEM,36V,350mA,3000K,90,95 mm,36°,18W,DL18,DL18/B,https://placehold.co/800x800/ffffff/222222?text=Demo%20Downlight%2018%20Mat%20Black
