Name,Item No,Vf,Imax,CCT,CRI,Cutout,Beam Angle,Wattage,Batch Code,Stock Code,IMAGE
Demo Outdoor 12,OUT12,36V,350mA,3000K,80,Surface Mounted,36°,12W,OUT12,OUT12/W,assets/images/outdoor.svg
Demo Outdoor 12,OUT12,36V,350mA,4000K,80,Surface Mounted,36°,12W,OUT12,OUT12/W,assets/images/outdoor.svg
Demo Outdoor 12,OUT12,36V,350mA,3000K,80,Surface Mounted,36°,12W,OUT12,OUT12/B,assets/images/outdoor.svg
Demo Outdoor 12,OUT12,36V,350mA,4000K,80,Surface Mounted,36°,12W,OUT12,OUT12/B,assets/images/outdoor.svg
Demo Outdoor 12,OUT12,36V,350mA,3000K,80,Surface Mounted,36°,12W,OUT12,OUT12/DGR,assets/images/outdoor.svg
Demo Outdoor 12,OUT12,36V,350mA,4000K,80,Surface Mounted,36°,12W,OUT12,OUT12/DGR,assets/images/outdoor.svg
Demo Outdoor 12,OUT12,36V,350mA,3000K,80,Surface Mounted,36°,12W,OUT12,OUT12/BR,assets/images/outdoor.svg
Demo Outdoor 12,OUT12,36V,350mA,4000K,80,Surface Mounted,36°,12W,OUT12,OUT12/BR,assets/images/outdoor.svg
Demo Outdoor 18,OUT18,36V,500mA,3000K,80,Surface Mounted,60°,18W,OUT18,OUT18/B,assets/images/outdoor.svg
Demo Outdoor 18,OUT18,36V,500mA,3000K,80,Surface Mounted,60°,18W,OUT18,OUT18/DGR,assets/images/outdoor.svg
