Name,Item No,Vf,Imax,CCT,CRI,Cutout,Beam Angle,Wattage,Batch Code,Stock Code,IMAGE
Demo Profile 12,PF12-ITEM,36V,350mA,3000K,90,12 × 12 mm,120°,12W/m,PF12,PF12/W,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2012%20White
Demo Profile 12,PF12-ITEM,36V,350mA,4000K,90,12 × 12 mm,120°,12W/m,PF12,PF12/W,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2012%20White
Demo Profile 12,PF12-ITEM,36V,350mA,3000K,90,12 × 12 mm,120°,12W/m,PF12,PF12/B,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2012%20Mat%20Black
Demo Profile 12,PF12-ITEM,36V,350mA,4000K,90,12 × 12 mm,120°,12W/m,PF12,PF12/B,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2012%20Mat%20Black
Demo Profile 12,PF12-ITEM,36V,350mA,3000K,90,12 × 12 mm,120°,12W/m,PF12,PF12/CG,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2012%20Champagne%20Gold
Demo Profile 12,PF12-ITEM,36V,350mA,4000K,90,12 × 12 mm,120°,12W/m,PF12,PF12/CG,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2012%20Champagne%20Gold
Demo Profile 12,PF12-ITEM,36V,350mA,3000K,90,12 × 12 mm,120°,12W/m,PF12,PF12/RG,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2012%20Rose%20Gold
Demo Profile 12,PF12-ITEM,36V,350mA,4000K,90,12 × 12 mm,120°,12W/m,PF12,PF12/RG,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2012%20Rose%20Gold
Demo Profile 12,PF12-ITEM,36V,350mA,3000K,90,12 × 12 mm,120°,12W/m,PF12,PF12/BR,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2012%20Brown
Demo Profile 12,PF12-ITEM,36V,350mA,4000K,90,12 × 12 mm,120°,12W/m,PF12,PF12/BR,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2012%20Brown
Demo Profile 12,PF12-ITEM,36V,350mA,3000K,90,12 × 12 mm,120°,12W/m,PF12,PF12/COF,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2012%20Coffee
Demo Profile 12,PF12-ITEM,36V,350mA,4000K,90,12 × 12 mm,120°,12W/m,PF12,PF12/COF,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2012%20Coffee
Demo Profile 12,PF12-ITEM,36V,350mA,3000K,90,12 × 12 mm,120°,12W/m,PF12,PF12/DGR,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2012%20Dark%20Gray
Demo Profile 12,PF12-ITEM,36V,350mA,4000K,90,12 × 12 mm,120°,12W/m,PF12,PF12/DGR,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2012%20Dark%20Gray
Demo Profile 12,PF12-ITEM,36V,350mA,3000K,90,12 × 12 mm,120°,12W/m,PF12,PF12/BB,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2012%20Ballet%20Blue
Demo Profile 12,PF12-ITEM,36V,350mA,4000K,90,12 × 12 mm,120°,12W/m,PF12,PF12/BB,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2012%20Ballet%20Blue
Demo Profile 12,PF12-ITEM,36V,350mA,3000K,90,12 × 12 mm,120°,12W/m,PF12,PF12/CH,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2012%20Chrome
Demo Profile 12,PF12-ITEM,36V,350mA,4000K,90,12 × 12 mm,120°,12W/m,PF12,PF12/CH,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2012%20Chrome
Demo Profile 12,PF12-ITEM,36V,350mA,3000K,90,12 × 12 mm,120°,12W/m,PF12,PF12/CHB,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2012%20Chrome%20Black
Demo Profile 12,PF12-ITEM,36V,350mA,4000K,90,12 × 12 mm,120°,12W/m,PF12,PF12/CHB,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2012%20Chrome%20Black
Demo Profile 20,PF20-ITEM,36V,350mA,3000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/W,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20White
Demo Profile 20,PF20-ITEM,36V,350mA,4000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/W,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20White
Demo Profile 20,PF20-ITEM,36V,350mA,3000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/B,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20Mat%20Black
Demo Profile 20,PF20-ITEM,36V,350mA,4000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/B,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20Mat%20Black
Demo Profile 20,PF20-ITEM,36V,350mA,3000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/CG,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20Champagne%20Gold
Demo Profile 20,PF20-ITEM,36V,350mA,4000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/CG,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20Champagne%20Gold
Demo Profile 20,PF20-ITEM,36V,350mA,3000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/RG,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20Rose%20Gold
Demo Profile 20,PF20-ITEM,36V,350mA,4000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/RG,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20Rose%20Gold
