Name,Item No,Vf,Imax,CCT,CRI,Cutout,Beam Angle,Wattage,Batch Code,Stock Code,IMAGE
Demo Tracklight 15,TL15-ITEM,36V,350mA,3000K,90,Track Mounted,24°,15W,TL15,TL15/W,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20White
Demo Tracklight 15,TL15-ITEM,36V,350mA,4000K,90,Track Mounted,24°,15W,TL15,TL15/W,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20White
Demo Tracklight 15,TL15-ITEM,36V,350mA,3000K,90,Track Mounted,24°,15W,TL15,TL15/B,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20Mat%20Black
Demo Tracklight 15,TL15-ITEM,36V,350mA,4000K,90,Track Mounted,24°,15W,TL15,TL15/B,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20Mat%20Black
Demo Tracklight 15,TL15-ITEM,36V,350mA,3000K,90,Track Mounted,24°,15W,TL15,TL15/CG,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20Champagne%20Gold
Demo Tracklight 15,TL15-ITEM,36V,350mA,4000K,90,Track Mounted,24°,15W,TL15,TL15/CG,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20Champagne%20Gold
Demo Tracklight 15,TL15-ITEM,36V,350mA,3000K,90,Track Mounted,24°,15W,TL15,TL15/RG,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20Rose%20Gold
Demo Tracklight 15,TL15-ITEM,36V,350mA,4000K,90,Track Mounted,24°,15W,TL15,TL15/RG,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20Rose%20Gold
Demo Tracklight 15,TL15-ITEM,36V,350mA,3000K,90,Track Mounted,24°,15W,TL15,TL15/BR,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20Brown
Demo Tracklight 15,TL15-ITEM,36V,350mA,4000K,90,Track Mounted,24°,15W,TL15,TL15/BR,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20Brown
Demo Tracklight 15,TL15-ITEM,36V,350mA,3000K,90,Track Mounted,24°,15W,TL15,TL15/COF,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20Coffee
Demo Tracklight 15,TL15-ITEM,36V,350mA,4000K,90,Track Mounted,24°,15W,TL15,TL15/COF,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20Coffee
Demo Tracklight 15,TL15-ITEM,36V,350mA,3000K,90,Track Mounted,24°,15W,TL15,TL15/DGR,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20Dark%20Gray
Demo Tracklight 15,TL15-ITEM,36V,350mA,4000K,90,Track Mounted,24°,15W,TL15,TL15/DGR,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20Dark%20Gray
Demo Tracklight 15,TL15-ITEM,36V,350mA,3000K,90,Track Mounted,24°,15W,TL15,TL15/BB,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20Ballet%20Blue
Demo Tracklight 15,TL15-ITEM,36V,350mA,4000K,90,Track Mounted,24°,15W,TL15,TL15/BB,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20Ballet%20Blue
Demo Tracklight 15,TL15-ITEM,36V,350mA,3000K,90,Track Mounted,24°,15W,TL15,TL15/CH,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20Chrome
Demo Tracklight 15,TL15-ITEM,36V,350mA,4000K,90,Track Mounted,24°,15W,TL15,TL15/CH,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20Chrome
Demo Tracklight 15,TL15-ITEM,36V,350mA,3000K,90,Track Mounted,24°,15W,TL15,TL15/CHB,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20Chrome%20Black
Demo Tracklight 15,TL15-ITEM,36V,350mA,4000K,90,Track Mounted,24°,15W,TL15,TL15/CHB,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20Chrome%20Black
Demo Tracklight 25,TL25-ITEM,36V,350mA,3000K,90,Track Mounted,36°,25W,TL25,TL25/W,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2025%20White
Demo Tracklight 25,TL25-ITEM,36V,350mA,4000K,90,Track Mounted,36°,25W,TL25,TL25/W,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2025%20White
Demo Tracklight 25,TL25-ITEM,36V,350mA,3000K,90,Track Mounted,36°,25W,TL25,TL25/B,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2025%20Mat%20Black
Demo Tracklight 25,TL25-ITEM,36V,350mA,4000K,90,Track Mounted,36°,25W,TL25,TL25/B,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2025%20Mat%20Black
Demo Tracklight 25,TL25-ITEM,36V,350mA,3000K,90,Track Mounted,36°,25W,TL25,TL25/CG,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2025%20Champagne%20Gold
Demo Tracklight 25,TL25-ITEM,36V,350mA,4000K,90,Track Mounted,36°,25W,TL25,TL25/CG,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2025%20Champagne%20Gold
Demo Tracklight 25,TL25-ITEM,36V,350mA,3000K,90,Track Mounted,36°,25W,TL25,TL25/RG,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2025%20Rose%20Gold
Demo Tracklight 25,TL25-ITEM,36V,350mA,4000K,90,Track Mounted,36°,25W,TL25,TL25/RG,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2025%20Rose%20Gold
Demo Tracklight 25,TL25-ITEM,36V,350mA,3000K,90,Track Mounted,36°,25W,TL25,TL25/BR,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2025%20Brown
Demo Tracklight 25,TL25-ITEM,36V,350mA,4000K,90,Track Mounted,36°,25W,TL25,TL25/BR,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2025%20Brown
Demo Tracklight 25,TL25-ITEM,36V,350mA,3000K,90,Track Mounted,36°,25W,TL25,TL25/COF,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2025%20Coffee
Demo Tracklight 25,TL25-ITEM,36V,350mA,4000K,90,Track Mounted,36°,25W,TL25,TL25/COF,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2025%20Coffee
Demo Tracklight 25,TL25-ITEM,36V,350mA,3000K,90,Track Mounted,36°,25W,TL25,TL25/DGR,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2025%20Dark%20Gray
Demo Tracklight 25,TL25-ITEM,36V,350mA,4000K,90,Track Mounted,36°,25W,TL25,TL25/DGR,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2025%20Dark%20Gray
Demo Tracklight 25,TL25-ITEM,36V,350mA,3000K,90,Track Mounted,36°,25W,TL25,TL25/BB,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2025%20Ballet%20Blue
Demo Tracklight 25,TL25-ITEM,36V,350mA,4000K,90,Track Mounted,36°,25W,TL25,TL25/BB,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2025%20Ballet%20Blue
Demo Tracklight 25,TL25-ITEM,36V,350mA,3000K,90,Track Mounted,36°,25W,TL25,TL25/CH,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2025%20Chrome
Demo Tracklight 25,TL25-ITEM,36V,350mA,4000K,90,Track Mounted,36°,25W,TL25,TL25/CH,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2025%20Chrome
Demo Tracklight 25,TL25-ITEM,36V,350mA,3000K,90,Track Mounted,36°,25W,TL25,TL25/CHB,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2025%20Chrome%20Black
Demo Tracklight 25,TL25-ITEM,36V,350mA,4000K,90,Track Mounted,36°,25W,TL25,TL25/CHB,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2025%20Chrome%20Black
