Name,Item No,Vf,Imax,CCT,CRI,Cutout,Beam Angle,Wattage,Batch Code,Stock Code,MFG BY,BIS No,BIS SEC,MRP,IMAGE
Anka,,,,,,,,,,AOLZ1054/30/B/S,,,,22199,https://i.ibb.co/NgDVLkj7/Anka-AOLZ1054.png
Anka,,,,,,,,,,AOLZ1054/30/G/S,,,,22199,Image required
Zibal 3,,,,,,,,,,AOLS0242/30/5/B/S,,,,7399,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 3,,,,,,,,,,AOLS0242/30/8/B/S,,,,7399,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 3,,,,,,,,,,AOLS0242/30/25/B/S,,,,7399,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 3,,,,,,,,,,AOLS0242/30/40/B/S,,,,7399,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 3,,,,,,,,,,AOLS0242/30/60/B/S,,,,7399,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 5.5,,,,,,,,,,AOLS0663/30/15/B/S,,,,8749,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 5.5,,,,,,,,,,AOLS0663/30/30/B/S,,,,8749,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 5.5,,,,,,,,,,AOLS0663/30/45/B/S,,,,8749,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 5.5,,,,,,,,,,AOLS0663/30/60/B/S,,,,8749,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 12,,,,,,,,,,AOLS1270/30/15/B/S,,,,11199,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 12,,,,,,,,,,AOLS1270/30/30/B/S,,,,11199,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 12,,,,,,,,,,AOLS1270/30/45/B/S,,,,11199,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 12,,,,,,,,,,AOLS1270/30/60/B/S,,,,11199,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 16,,,,,,,,,,AOLS1280/30/15/B/S,,,,14799,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 16,,,,,,,,,,AOLS1280/30/30/B/S,,,,14799,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 16,,,,,,,,,,AOLS1280/30/45/B/S,,,,14799,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 16,,,,,,,,,,AOLS1280/30/60/B/S,,,,14799,https://i.ibb.co/0j45CZh0/Zibal.png
Sabik,,,,,,,,,,AOLS0960/30/6/B/S,,,,12399,https://i.ibb.co/HpdZ5NpZ/Sabik.png
Sabik,,,,,,,,,,AOLS0960/30/12/B/S,,,,12399,https://i.ibb.co/HpdZ5NpZ/Sabik.png
Sabik,,,,,,,,,,AOLS0960/30/25/B/S,,,,12399,https://i.ibb.co/HpdZ5NpZ/Sabik.png
Sabik,,,,,,,,,,AOLS0960/30/40/B/S,,,,12399,https://i.ibb.co/HpdZ5NpZ/Sabik.png
Sabik,,,,,,,,,,AOLS0960/30/60/B/S,,,,12399,https://i.ibb.co/HpdZ5NpZ/Sabik.png
Polis 15,,,,,,,,,,AOSL1580/30/18/B/S,,,,16199,https://i.ibb.co/C3f9WtGd/Polis.png
Polis 15,,,,,,,,,,AOSL1580/30/24/B/S,,,,16199,https://i.ibb.co/C3f9WtGd/Polis.png
Polis 15,,,,,,,,,,AOSL1580/30/38/B/S,,,,16199,https://i.ibb.co/C3f9WtGd/Polis.png
Polis 15,,,,,,,,,,AOSL1580/30/60/B/S,,,,16199,https://i.ibb.co/C3f9WtGd/Polis.png
Polis 25,,,,,,,,,,AOLS2510/30/18/B/S,,,,23199,https://i.ibb.co/C3f9WtGd/Polis.png
Polis 25,,,,,,,,,,AOLS2510/30/24/B/S,,,,23199,https://i.ibb.co/C3f9WtGd/Polis.png
Polis 25,,,,,,,,,,AOLS2510/30/38/B/S,,,,23199,https://i.ibb.co/C3f9WtGd/Polis.png
Polis 25,,,,,,,,,,AOLS2510/30/60/B/S,,,,23199,https://i.ibb.co/C3f9WtGd/Polis.png
Caph,,,,,,,,,,AOGLL255/30/10/R,,,,6749,https://i.ibb.co/Ngj3fm2k/Caph.png
Caph,,,,,,,,,,AOGLL255/30/25/R,,,,6749,https://i.ibb.co/Ngj3fm2k/Caph.png
Caph,,,,,,,,,,AOGLL255/30/35/R,,,,6749,https://i.ibb.co/Ngj3fm2k/Caph.png
Caph,,,,,,,,,,AOGLL255/30/40/R,,,,6749,https://i.ibb.co/Ngj3fm2k/Caph.png
Caph,,,,,,,,,,AOGLL255/30/15/C,,,,6749,https://i.ibb.co/Qvm2JHgz/Caph-2-C.png
Caph,,,,,,,,,,AOGLL255/30/25/C,,,,6749,https://i.ibb.co/Qvm2JHgz/Caph-2-C.png
Caph,,,,,,,,,,AOGLL255/30/35/C,,,,6749,https://i.ibb.co/Qvm2JHgz/Caph-2-C.png
Caph,,,,,,,,,,AOGLL255/30/40/C,,,,6749,https://i.ibb.co/Qvm2JHgz/Caph-2-C.png
Segin,,,,,,,,,,AOGL0255/30/1/B,,,,6799,Image required
Segin,,,,,,,,,,AOGL0255/30/1/G,,,,6799,https://i.ibb.co/gxSwR94/Segin-grey.png
